ID,time(hours)
46-47_AB3,12.239256111111109
1-44_AB3,5.182408888888889
50-63_ABAB,4.9670925000000015
4-sp47,3.723431388888889
5-sp78,9.81832361111111
47-50_AB3,13.713116944444444
3-24,0.6021866666666666
63-96,1.6827080555555554
5-sp63,8.34319138888889
12-52_ABAB,4.4772225
1-sp01,0.006940000000000001
5-sp80,9.8848075
benzo-a-anthracene,2.1071419444444452
benzo-e-pyrene,2.8872174999999998
pyrene,0.9619861111111112
dibenzo-bi-phenazine,2.00596
3E5E-octa-1357-tetraene,0.09489666666666667
benzo-a-pyrene,2.992235833333333
dibenzo-ai-phenazine,2.1376202777777777
